name,RA,DEC,D,e_D,mem_class,r,e_r,J,e_J,K,e_K,G,e_G,BP,e_BP,RP,e_RP,binary,ruwe,mass,e_mass,Lbol,e_Lbol,tau,EW,e_EW,chi,e_chi,Teff,e_Teff,Prot,xflux,e_xflux,x_source,xflag,radius,e_radius
2MASS J01533916+3219225,28.413188,32.322941,41.5957603,0.1022587,ms,nan,nan,nan,nan,11.838,0.019,16.399,0.003,18.798,0.031,14.997,0.004,0,0.963,0.125,0.000,6.44623,0.02730,140.34752,nan,nan,1.87917,0.18797,2936.992378,0.88368697,nan,nan,nan,nan,nan,0.158151501,0.000271904
2MASS J01534960+0313221,28.456679,3.222828,25.7922306,0.01790715,ms,nan,nan,nan,nan,9.701,0.019,13.707,0.003,15.534,0.004,12.427,0.004,0,1.376,0.206,0.000,20.31276,0.04925,108.26446,nan,nan,3.06551,0.30656,3157.302163,0.404491781,nan,nan,nan,nan,nan,0.243962233,0.00023056
2MASS J01564147+3028349,29.172824,30.476364,37.4466972,0.0662746,ms,nan,nan,nan,nan,11.029,0.021,15.160,0.003,17.099,0.009,13.854,0.004,0,1.109,0.171,0.000,12.92372,0.04251,121.11566,-4.36529,0.04060,2.60410,0.26043,3079.418419,0.594238439,nan,nan,nan,nan,nan,0.204155736,0.00024958
2MASS J01584517+4049445,29.688222,40.829044,22.1962566,0.01579475,ms,nan,nan,nan,nan,9.811,0.019,13.961,0.003,15.936,0.006,12.646,0.004,0,1.214,0.174,0.000,13.48725,0.03071,119.80248,nan,nan,2.64523,0.26453,3087.141722,0.41150133,nan,nan,nan,nan,nan,0.207399523,0.000172831
2MASS J02022349+3729467,30.597895,37.496326,36.5082321,0.0341797,ms,nan,nan,nan,nan,9.257,0.020,12.901,0.003,14.356,0.005,11.721,0.004,0,1.354,0.366,0.000,60.81189,0.14868,66.55187,-1.69586,0.05904,4.60068,0.46008,3422.803405,0.707007259,nan,nan,nan,nan,nan,0.358256298,0.000269547
2MASS J02030957+4837132,30.789900,48.620350,44.9868889,0.06578635,ms,nan,nan,nan,nan,6.154,0.023,7.584,0.003,7.876,0.003,7.116,0.004,2,1.070,1.061,0.001,5225.02618,20.24564,12.22369,1.92966,0.00856,9.38301,0.93830,5933.96611,2.015433586,nan,1.25E-12,2.21E-13,r,nan,1.102776277,0.001410804
2MASS J02032864+2134168,30.869345,21.571337,24.6663876,0.0341139,ms,nan,nan,nan,nan,10.714,0.018,15.240,0.003,17.582,0.015,13.858,0.004,0,1.354,0.126,0.000,6.55527,0.01924,139.86478,nan,nan,1.89599,0.18962,2940.499839,0.612937903,nan,nan,nan,nan,nan,0.15923072,0.000188596
2MASS J02093052+1941161,32.377194,19.687820,35.2149315,0.08255575,uc,nan,nan,nan,nan,11.833,0.021,16.608,0.003,19.232,0.045,15.172,0.005,0,1.027,0.111,0.000,4.85012,0.01379,147.02536,nan,nan,1.52695,0.15274,2861.138155,0.778516662,nan,nan,nan,nan,nan,0.145096875,0.000123265
2MASS J02111362+2058223,32.806780,20.972864,32.7452049,0.04867935,ms,nan,nan,nan,nan,10.528,0.018,14.617,0.003,16.513,0.007,13.322,0.004,0,1.209,0.184,0.000,15.31320,0.04873,115.99148,nan,nan,2.77576,0.27759,3110.108675,0.530741283,nan,nan,nan,nan,nan,0.217061945,0.000302523
2MASS J02112310+2122384,32.846260,21.377337,31.443512,0.02688405,ms,nan,nan,nan,nan,5.786,0.020,7.175,0.003,7.499,0.004,6.667,0.005,0,1.038,0.993,0.001,3802.10552,9.09411,14.01235,nan,nan,9.61499,0.96151,5733.101967,2.593828833,nan,nan,nan,nan,nan,1.004620393,0.000518766
2MASS J02122889+2859448,33.120415,28.995787,45.95588235,0.929254974,ms,nan,nan,nan,nan,11.613,0.021,15.725,0.006,17.341,0.009,14.296,0.004,0,11.544,0.164,0.002,11.91680,0.35769,123.65680,0.00000,0.00000,2.52595,0.25420,3064.74012,5.351529057,nan,nan,nan,nan,nan,0.19799085,0.002247642
2MASS J02135203-0330595,33.466817,-3.516553,35.2627945,0.0515461,ms,nan,nan,nan,nan,10.801,0.023,15.083,0.003,17.151,0.009,13.752,0.004,0,1.365,0.168,0.000,12.46619,0.03673,122.23742,-4.14341,0.06574,2.56937,0.25695,3072.895984,0.532422826,nan,4.43E-14,2.31E-15,x,nan,0.201416313,0.000223618
2MASS J02145660+0347100,33.735846,3.786118,30.746603,0.0200052,ms,nan,nan,nan,nan,9.465,0.023,13.107,0.003,14.656,0.004,11.900,0.004,0,1.588,0.295,0.000,41.16559,0.09209,82.15130,nan,nan,3.96828,0.39685,3309.833978,0.646995792,nan,nan,nan,nan,nan,0.315186704,0.000246667
2MASS J02164742+0112454,34.197622,1.212629,31.4981136,0.03085325,ms,nan,nan,nan,nan,8.948,0.021,12.476,0.003,13.852,0.006,11.320,0.004,0,1.523,0.375,0.000,66.29215,0.22192,64.66484,-2.16396,0.03050,4.67830,0.46784,3437.114333,0.387044602,8.9724,5.63E-13,1.34E-13,s,nan,0.371671499,0.000580567
2MASS J02185464+3513053,34.727686,35.218166,43.4957733,0.0361366,ms,nan,nan,nan,nan,8.145,0.026,11.108,0.003,12.029,0.003,10.162,0.004,0,1.160,0.602,0.000,316.83881,0.35242,34.61774,nan,nan,6.68608,0.66861,3954.082494,0.72419657,nan,nan,nan,nan,nan,0.610809624,8.44896E-05
