Name,RAJ2000,DEJ2000,memclass,Kmag,e_Kmag,r_K,Gmag,e_Gmag,BP-RP,bin,RUWE,D,e_D,mass,e_mass,Lbol,e_Lbol,tau,Prot,EW,e_EW,chi,e_chi,NSPTP
Gaia DR3 1412154190017989248,253.013024,50.27160019,ms,13.742,0.044,2M,17.896866,0.003256,3.406916,0,0.857,107.193214,1.0705075,0.136570138,0.00318514,7.739813368,0.403130839,135.1844467,nan,nan,nan,2.062500046,0.045702085,44.5
Gaia DR3 1412580456931839232,254.3332235,51.13375421,ms,12.433,0.019,2M,16.440434,0.00293,3.023335,0,1.06,105.575439,0.488228,0.236908967,0.003307134,29.09263374,0.615656572,98.18283433,nan,0,0,3.44681808,0.025655938,44
Gaia DR3 1413229065713247744,251.4525776,51.21631582,ms,10.093,0.014,2M,12.742108,0.002773,1.599184,0,1.136,116.450577,0.1799505,0.649539493,0.002879227,408.784066,7.659153532,30.6535122,12,0.386064021,0.027288127,7.329984053,0.054632049,36
Gaia DR3 1413689451847481472,253.7172673,52.48164801,ms,12.819,0.025,2M,16.703358,0.002959,3.002887,0,1.023,116.035515,0.7071685,0.219027677,0.002283236,24.14159159,0.728142604,103.8317451,0.75,-6.2463127,0.21652512,3.242611746,0.026928526,44
Gaia DR3 1413990168277612928,253.8912296,52.87233539,ms,9.722,0.012,2M,11.934243,0.002778,1.277264,0,1.149,117.102982,0.1601485,0.703556895,0.002472174,680.8991638,9.10419711,26.79861021,11.00928104,0.688447405,0.016076726,8.901422349,0.052912675,33
Gaia DR3 1414128053907790976,254.7908887,54.22549235,ms,11.465,0.019,2M,14.939746,0.002831,2.471548,0,1.074,106.918007,0.2020875,0.388672547,0.001575287,77.29405924,1.414606133,62.20449193,nan,-1.63272151,0.05598912,4.774757103,0.011141449,42
Gaia DR3 1419817889142291968,256.3677093,53.58015409,ms,12.339,0.022,2M,16.269955,0.002936,3.02725,0,1.018,118.047012,0.548336,0.292059992,0.004400896,40.52540467,0.997670568,82.8614853,nan,-4.88097988,0.196315,3.94267921,0.036108194,44
Gaia DR3 1419903955991100800,257.3888654,53.75278465,ms,12.279,0.02,2M,15.988934,0.002831,2.731426,0,1.069,109.535904,0.433342,0.273429761,0.003951677,36.56072543,0.807186452,87.70657416,4.640916048,-2.04360759,0.08374412,3.769369109,0.034044244,43
Gaia DR3 1420124068771090048,255.730267,54.34071991,ms,9.856,0.018,2M,12.211995,0.00278,1.36203,0,1.039,119.088463,0.116234,0.695115121,0.001112415,596.9453746,15.4878515,27.35991085,11.7628389,0.675588231,0.034458653,8.526840516,0.071239018,34
Gaia DR3 1424014003471522176,246.3799486,51.0576283,ms,12.144,0.018,2M,15.640629,0.002842,2.561497,0,1.11,117.582451,0.371525,0.325939505,0.003499921,48.86953332,0.954399149,74.82109779,nan,nan,nan,4.24851122,0.029543068,42.5
Gaia DR3 1424042006658262784,247.0084724,51.35599108,ms,9.652,0.015,2M,11.526023,0.002805,1.067432,0,0.906,124.81041,0.132618,0.755934325,0.005159655,927.6827678,31.37887924,23.618042,15,1.316113417,0.038974502,9.210935804,0.019703747,31
Gaia DR3 1425191958381322240,245.4171398,52.76868253,ms,10.299,0.015,2M,13.135527,0.002769,1.755895,0,0.961,121.325218,0.13805,0.630120141,0.002172513,359.0407996,5.428827135,32.20369612,14.97057687,0.3406657,0.011321392,6.970566939,0.037584649,38
Gaia DR3 1426269548495983488,252.4881457,54.03516904,ms,11.392,0.018,2M,14.832711,0.002833,2.37437,0,1.082,128.059738,0.294033,0.456313151,0.002433672,125.6494371,2.369078225,51.29546824,8.971016882,-2.36062767,0.047116639,5.458894228,0.022279829,42
